City,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
Ahmedabad,31.15,57.16,,27.3,50.98,35.38,18.61,72.78,10.15
Ahmedabad,34.48,57.71,,23.83,64.32,43.79,29.14,64.01,8.51
Ahmedabad,43.3,60.07,,17.93,79.71,53.44,24.09,67.38,9.76
Ahmedabad,35.82,40.22,,6.4,46.89,17.94,14.23,41.88,5.7
Ahmedabad,27.89,32.65,,5.86,142.36,38.54,13.67,21.24,2.83
Ahmedabad,21.8,25.37,,4.99,96.28,39.77,8.68,14.95,1.28
Ahmedabad,17.99,21.02,,3.88,57.34,39.66,5.76,11.74,1.04
Ahmedabad,20,26.18,,6.52,51.58,59.03,9.94,21.13,2.31
Ahmedabad,20.07,23.46,,3.8,62.42,46.61,7.54,13.44,1.65
Ahmedabad,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6
Ahmedabad,13.82,17.45,,4.17,40.36,21.76,4.47,6.94,0.42
Ahmedabad,15.5,18.49,,5.63,38.21,4.72,5.2,8.17,0.73
Ahmedabad,16.7,20.97,,3.92,26.32,37.11,3.88,10.78,0.97
Ahmedabad,20.86,25.02,,4.23,35.54,35.66,6.05,15.85,1.68
Ahmedabad,25.47,30.67,,5.65,87.43,29.77,11.25,24.67,3.12
Ahmedabad,30.69,46.1,,15.82,66.39,27.34,17.22,49.56,7.71
Ahmedabad,26.7,27.41,,3.3,59.16,35.89,7.58,29.19,4.08
Ahmedabad,26.27,28.7,,5.9,34.53,7,0,0,0
Ahmedabad,14.03,17.59,,3.52,8.08,19.54,0,0,0.01
Ahmedabad,19.56,24.66,,5.28,17.66,31.3,0,0,0
Ahmedabad,22.51,25.17,,3.89,15.84,31.23,0,0,0
Ahmedabad,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4
Ahmedabad,26.23,44.34,,18.01,13.59,41.64,1.21,3.28,20.78
Ahmedabad,36.88,66.53,,30.8,41.06,37.66,0.66,0.01,28.13
Ahmedabad,46.38,54.77,,19.91,31.56,48.49,1.67,0,15.95
Ahmedabad,20.27,22.86,,4.3,46.6,31.34,0.05,0,6.19
Ahmedabad,20.18,26.78,,6.99,79.56,28.71,0.2,0,6.4
Ahmedabad,21.32,37.58,,16.73,50.09,28.39,1.38,23.54,6.09
Ahmedabad,17.96,23.45,,6.3,13.85,34.16,0.21,4.91,2.95
Ahmedabad,13.28,15.44,,3.44,24.79,43.62,0,0,1.23
Ahmedabad,14.29,17.97,,3.35,76.05,60.71,0,0.01,2.27
Ahmedabad,18.62,24.23,,5.7,65.44,22.8,0.05,0.09,3.46
Ahmedabad,19.82,23.69,,4.55,85.42,22.18,0.06,1.17,2.58
Ahmedabad,15.56,19.73,,5.29,74.37,10.12,0.09,0.16,2.91
Ahmedabad,14.77,16.12,,3.11,118.35,59.73,0,2.55,0
Ahmedabad,12.74,16.82,,3.88,41.94,26.89,0.02,6.4,0.76
Ahmedabad,16.7,21.56,,5.05,77.74,27.18,0.01,0.88,2.01
Ahmedabad,14.86,19.66,,5.69,78.27,18.67,0,0,1.54
Ahmedabad,15.9,20.53,,4.67,39.41,11.83,0.01,0,3.11
Ahmedabad,23.93,39.73,,15.69,93.18,36.71,0.22,0.04,10
Ahmedabad,23.02,35.05,,13.12,65.95,81.6,0.3,0.02,9.69
Ahmedabad,10.5,10.9,,2.69,50.13,90.54,0.47,0.15,12.8
Ahmedabad,0.08,2.75,,2.73,34.06,69.57,0.28,0.05,8.97
Ahmedabad,4.58,6.75,,3.14,22.27,32.26,0.17,0.04,5.84
Ahmedabad,20.47,26.2,,6.24,15.5,31.44,0,0,1.29
Ahmedabad,19.28,26.61,,8,20.13,25.7,0,0,2.08
Ahmedabad,17.82,27.18,,9.94,39.69,25.9,0,0,3.49
Ahmedabad,17.24,27.38,,10.68,54.69,18.89,0,0,1.39
Ahmedabad,16.69,27.61,,11.44,42.66,18.2,0.01,0,2.59
Ahmedabad,16.08,27.86,,12.3,27.96,22.35,0,0,2.29
Ahmedabad,18.9,37.83,,20.42,31.9,22.84,4.9,19.26,8.21
Ahmedabad,30.02,33.62,,5.31,36.05,16.26,10.6,34.91,3.85
Ahmedabad,28.33,41.92,,14.28,70.13,25.4,16.9,44.19,4.97
Ahmedabad,28.79,45.4,,21.23,17.66,34.42,20.53,85.73,11.56
Ahmedabad,18.79,24.33,,7.56,38.76,38.83,4.92,17.94,1.54
Ahmedabad,17.43,23.72,,7.14,52.07,29.05,5.05,14,1.3
Ahmedabad,15.86,23.34,,8.05,36.23,21.58,5.23,15,1.02
Ahmedabad,18.16,21.8,,10.44,17,25.5,0,0,0
Ahmedabad,14.9,22.5,,9.46,30.67,12.91,0.41,1.89,1.44
Ahmedabad,17.18,27.15,,10.89,41.12,35.61,12.62,20.2,17.84
Ahmedabad,16.28,17.74,,2.18,26.4,12.47,3,6.96,6.37
Ahmedabad,16.17,18.49,,2.96,41.96,10.74,3.41,8.87,3.53
Ahmedabad,15.47,19.28,,4.12,23.67,16.01,3.72,8.13,4.06
Ahmedabad,14.43,18.06,,4.23,14.46,45.64,2.39,6.4,3.53
Ahmedabad,13.73,17.1,,4.26,12.85,71.85,2.5,5.96,3.36
Ahmedabad,16.61,21.42,,5.27,14.91,41.19,3.03,9.18,6.54
Ahmedabad,17.87,31.64,,13.71,15.33,12.88,6.32,19.17,10.57
Ahmedabad,17.12,23,,6.67,46.82,16.67,4.79,9.78,5.1
Ahmedabad,15.47,20.42,,5.6,41.68,25.51,2.64,6.3,3.08
Ahmedabad,15.47,21.13,,7.02,71.97,9.56,3.74,8.45,1.17
Ahmedabad,12.74,19.66,,7.25,18.64,6.32,2.73,6.99,0.76
Ahmedabad,13.9,19.86,,6.36,7.76,15.27,0.82,1.37,0.81
Ahmedabad,18.73,24.74,,6.01,38.05,38.52,0,0,0
Ahmedabad,17.88,25.53,,8.05,23.84,48.22,0,0,0
Ahmedabad,19.84,25.9,,6.59,48.05,44.78,0,0,0
Ahmedabad,16.07,22.25,,6.86,39.85,32.65,0,0,0
Ahmedabad,16.53,24.29,,7.76,9.89,8.07,0,0,0
Ahmedabad,11.62,19.03,,7.41,3.13,6.69,2.5,5.93,0.74
Ahmedabad,15.59,24.15,,8.56,0.76,3.82,5.09,8.52,1.82
Ahmedabad,11.52,19.74,,8.21,0.52,5.17,3.63,8.16,1.33
